Step,AgentID,ticketsCount,campaign_impact_factor,hasWonImpactFactor,prize_wins,new_order_count
11,2,,3.0,1.0,"['1500 GEL', '1500 GEL', '3000 GEL', '3500 GEL', '1500 GEL', '2000 GEL', '1000 GEL', '2000 GEL', '1000 GEL']",11
11,3,,3.0,2.1,"['1500 GEL', '2000 GEL', '1000 GEL', '1500 GEL', '3500 GEL', '2000 GEL', '1500 GEL', '2000 GEL', '1500 GEL']",11
11,4,,3.0,1.7,"['3500 GEL', '3000 GEL', '3500 GEL', '3000 GEL', '1000 GEL', '1500 GEL']",11
11,5,,1.3,1.0,"['2000 GEL', '3000 GEL', '1000 GEL', '1000 GEL']",0
11,6,,3.0,1.6,"['2000 GEL', '1000 GEL', '1000 GEL', '3500 GEL', '1000 GEL', '3000 GEL', '3500 GEL']",11
11,7,,3.0,2.2,"['1000 GEL', '3000 GEL', '3500 GEL', '1000 GEL', '3000 GEL', '1500 GEL', '3500 GEL', '2000 GEL', '3500 GEL', '1500 GEL', '2000 GEL']",11
11,8,,3.0,1.7,"['3000 GEL', '1500 GEL', '3500 GEL', '3000 GEL', '3500 GEL']",7
11,9,,2.3000000000000007,1.0,"['3000 GEL', 'BMW M4', '2000 GEL', '3000 GEL', '3000 GEL']",1
11,10,,3.0,2.0,"['1000 GEL', '1500 GEL', '2000 GEL', '3500 GEL', '1000 GEL', '1000 GEL', '1000 GEL', '3500 GEL', '3000 GEL', 'CyberTruck', '1500 GEL']",2
12,1,,3.0,1.0,"['1500 GEL', '2000 GEL', '3000 GEL', '1500 GEL', '2000 GEL', '3500 GEL']",12
12,2,,3.0,1.0,"['1500 GEL', '1500 GEL', '3000 GEL', '3500 GEL', '1500 GEL', '2000 GEL', '1000 GEL', '2000 GEL', '1000 GEL']",12
12,3,,3.0,2.1,"['1500 GEL', '2000 GEL', '1000 GEL', '1500 GEL', '3500 GEL', '2000 GEL', '1500 GEL', '2000 GEL', '1500 GEL']",12
12,4,,3.0,1.7,"['3500 GEL', '3000 GEL', '3500 GEL', '3000 GEL', '1000 GEL', '1500 GEL']",12
12,5,,1.3,1.0,"['2000 GEL', '3000 GEL', '1000 GEL', '1000 GEL']",0
12,6,,3.0,1.6,"['2000 GEL', '1000 GEL', '1000 GEL', '3500 GEL', '1000 GEL', '3000 GEL', '3500 GEL']",12
12,7,,3.0,2.9000000000000004,"['1000 GEL', '3000 GEL', '3500 GEL', '1000 GEL', '3000 GEL', '1500 GEL', '3500 GEL', '2000 GEL', '3500 GEL', '1500 GEL', '2000 GEL']",12
12,8,,3.0,1.7,"['3000 GEL', '1500 GEL', '3500 GEL', '3000 GEL', '3500 GEL']",8
12,9,,2.400000000000001,1.0,"['3000 GEL', 'BMW M4', '2000 GEL', '3000 GEL', '3000 GEL']",2
12,10,,3.0,2.0,"['1000 GEL', '1500 GEL', '2000 GEL', '3500 GEL', '1000 GEL', '1000 GEL', '1000 GEL', '3500 GEL', '3000 GEL', 'CyberTruck', '1500 GEL']",2
13,1,,3.0,1.0,"['1500 GEL', '2000 GEL', '3000 GEL', '1500 GEL', '2000 GEL', '3500 GEL']",13
13,2,,3.0,1.0,"['1500 GEL', '1500 GEL', '3000 GEL', '3500 GEL', '1500 GEL', '2000 GEL', '1000 GEL', '2000 GEL', '1000 GEL']",13
13,3,,3.0,2.1,"['1500 GEL', '2000 GEL', '1000 GEL', '1500 GEL', '3500 GEL', '2000 GEL', '1500 GEL', '2000 GEL', '1500 GEL']",13
13,4,,3.0,1.7,"['3500 GEL', '3000 GEL', '3500 GEL', '3000 GEL', '1000 GEL', '1500 GEL']",13
13,5,,1.3,1.0,"['2000 GEL', '3000 GEL', '1000 GEL', '1000 GEL']",0
13,6,,3.0,1.6,"['2000 GEL', '1000 GEL', '1000 GEL', '3500 GEL', '1000 GEL', '3000 GEL', '3500 GEL']",13
13,7,,3.0,2.9000000000000004,"['1000 GEL', '3000 GEL', '3500 GEL', '1000 GEL', '3000 GEL', '1500 GEL', '3500 GEL', '2000 GEL', '3500 GEL', '1500 GEL', '2000 GEL']",13
13,8,,3.0,1.7,"['3000 GEL', '1500 GEL', '3500 GEL', '3000 GEL', '3500 GEL']",9
13,9,,2.600000000000001,1.0,"['3000 GEL', 'BMW M4', '2000 GEL', '3000 GEL', '3000 GEL']",2
13,10,,3.0,2.0,"['1000 GEL', '1500 GEL', '2000 GEL', '3500 GEL', '1000 GEL', '1000 GEL', '1000 GEL', '3500 GEL', '3000 GEL', 'CyberTruck', '1500 GEL']",2
14,1,,3.0,1.0,"['1500 GEL', '2000 GEL', '3000 GEL', '1500 GEL', '2000 GEL', '3500 GEL']",14
14,2,,3.0,1.0,"['1500 GEL', '1500 GEL', '3000 GEL', '3500 GEL', '1500 GEL', '2000 GEL', '1000 GEL', '2000 GEL', '1000 GEL']",14
14,3,,3.0,2.1,"['1500 GEL', '2000 GEL', '1000 GEL', '1500 GEL', '3500 GEL', '2000 GEL', '1500 GEL', '2000 GEL', '1500 GEL']",14
14,4,,3.0,1.7,"['3500 GEL', '3000 GEL', '3500 GEL', '3000 GEL', '1000 GEL', '1500 GEL']",14
14,5,,1.3,1.0,"['2000 GEL', '3000 GEL', '1000 GEL', '1000 GEL']",0
14,6,,3.0,1.6,"['2000 GEL', '1000 GEL', '1000 GEL', '3500 GEL', '1000 GEL', '3000 GEL', '3500 GEL']",14
14,7,,3.0,2.9000000000000004,"['1000 GEL', '3000 GEL', '3500 GEL', '1000 GEL', '3000 GEL', '1500 GEL', '3500 GEL', '2000 GEL', '3500 GEL', '1500 GEL', '2000 GEL']",14
14,8,,3.0,1.7,"['3000 GEL', '1500 GEL', '3500 GEL', '3000 GEL', '3500 GEL']",10
14,9,,2.800000000000001,1.0,"['3000 GEL', 'BMW M4', '2000 GEL', '3000 GEL', '3000 GEL']",2
